"city_state","city_or_county","state","incidents","victims_killed","victims_injured","victims_harmed","lat","long"
"Tampa Florida","Tampa","Florida",3,3,23,26,27.9477595,-82.458444
"Tchula Mississippi","Tchula","Mississippi",1,1,6,7,33.1829034,-90.2228629
"Temple Hills (Marlow Heights) Maryland","Temple Hills (Marlow Heights)","Maryland",1,0,4,4,38.81050355,-76.95000596047
"Texarkana Texas","Texarkana","Texas",2,7,3,10,33.44667445,-94.0771483052202
"Texas City Texas","Texas City","Texas",1,0,4,4,29.396013,-94.9175485
"Thibodaux Louisiana","Thibodaux","Louisiana",1,0,7,7,29.7957633,-90.822871
"Thomson Georgia","Thomson","Georgia",1,0,4,4,33.4663248,-82.5026089
"Thornton California","Thornton","California",1,1,3,4,38.2260268,-121.4246733
"Toledo Ohio","Toledo","Ohio",2,1,9,10,41.6529143,-83.5378173
"Toppenish Washington","Toppenish","Washington",1,3,1,4,46.3775015,-120.308938
"Trabuco Canyon California","Trabuco Canyon","California",1,3,5,8,33.6626232,-117.58938
"Trenton New Jersey","Trenton","New Jersey",3,2,10,12,40.2203074,-74.7659
"Truman Minnesota","Truman","Minnesota",1,0,4,4,43.8277419,-94.4389338
"Tucson Arizona","Tucson","Arizona",1,1,3,4,32.2228765,-110.974847
"Tulsa Oklahoma","Tulsa","Oklahoma",3,4,8,12,36.1563122,-95.9927516
"Upper Darby Pennsylvania","Upper Darby","Pennsylvania",1,1,3,4,39.9284459,-75.2737955
"Valley Stream New York","Valley Stream","New York",1,1,3,4,40.6631362,-73.7056955
"Vancouver Washington","Vancouver","Washington",1,1,3,4,45.6306954,-122.6744557
"Vicksburg Mississippi","Vicksburg","Mississippi",1,0,4,4,32.3528055,-90.8777342
"Virginia Beach Virginia","Virginia Beach","Virginia",1,0,4,4,36.8529841,-75.9774183
"Wade North Carolina","Wade","North Carolina",1,1,3,4,35.1629419,-78.7361323
"Wadesboro North Carolina","Wadesboro","North Carolina",1,1,6,7,34.9681767,-80.07674
"Waianae Hawaii","Waianae","Hawaii",1,2,3,5,21.446678,-158.185272
"Warren (Howland) Ohio","Warren (Howland)","Ohio",1,0,4,4,41.2321932,-80.7482461
